Date,Unnamed: 0,QR_trans,QR_ORN,QR_avg_trans_orn,QR_POI_trans,QR_POI_ORN,QR_POI_avg_trans_orn,QR_POA_trans,QR_POA_ORN,QR_POA_avg_trans_orn,QR_200,QR_200_per,QR_422,QR_422_per,QR_other_response,QR_POI_200,QR_POI_200_per,QR_POI_422,QR_POI_422_per,QR_POI_other_response,QR_POA_200,QR_POA_200_per,QR_POA_422,QR_POA_422_per,QR_POA_other_response,QR_POI_stopped,QR_POA_stopped
2020-12-01,0,575913,248354,2.318919767750872,312261,248319,1.2574994261413746,263652,238477,1.1055657358990594,484694,84.16097570292735,91216,15.838503385059896,3,244649,78.34760024466713,67609,21.651439020562925,3,240045,91.04615174548269,23607,8.953848254517318,0,9842,35
2020-12-02,0,642528,276664,2.3224127461469517,348142,276616,1.2585750643491338,294386,265193,1.1100820911562523,539482,83.96241097664226,103037,16.036188306190546,9,272536,78.28299946573523,75601,21.715564338689383,5,266946,90.67890456747264,27436,9.31973667226023,4,11423,48
2020-12-03,1,605285,260724,2.3215545941301907,328539,260676,1.2603346683238963,276746,249976,1.107090280666944,508363,83.98737784679945,96918,16.01196130748325,4,256638,78.11492699496863,71897,21.883855493563924,4,251725,90.95885758059737,25021,9.041142419402627,0,10700,48
2020-12-04,1,572907,246971,2.3197338958825124,308082,245317,1.255852631493129,264825,236909,1.117834273919522,481984,84.1295358583505,90919,15.869765948050905,4,241998,78.54986659395875,66082,21.449484228224954,2,239986,90.62059850844898,24837,9.378646275842536,2,8408,1654
2020-12-05,2,729645,314118,2.322837277710924,394639,314086,1.2564679737396764,335006,301719,1.1103245072401804,613645,84.10185775274277,115990,15.896771717753156,10,309936,78.5365866019324,84697,21.46189302121686,6,303709,90.65777926365496,31293,9.3410267278795,4,12367,32
2020-12-06,3,378690,161783,2.340728012213892,205850,161763,1.2725406922473002,172840,154685,1.1173675534150047,313978,82.91161636166784,64690,17.082574137157042,22,158557,77.02550400777265,47272,22.96429438911829,21,155421,89.92189308030548,17418,10.077528349919,1,7078,20
2020-12-07,4,579346,250531,2.3124723088160746,313488,250494,1.2514790773431699,265858,240351,1.1061239603746191,488492,84.31783424758262,90850,15.681475318721454,4,246615,78.66808298882253,66869,21.33064104527127,4,241877,90.97977115603071,23981,9.020228843969335,0,10143,37
2020-12-08,0,488572,210413,2.3219667986293624,262853,210373,1.2494616704615136,225719,202396,1.1152344908002134,411879,84.30262069868922,76688,15.69635591069484,5,208140,79.18494367574272,54709,20.81353456114254,4,203739,90.26222870028664,21979,9.737328270991807,1,7977,40
2020-12-09,1,419295,183831,2.280872105357638,224212,183777,1.2200220919919251,195083,177268,1.1004975517295843,360214,85.90944323209196,59077,14.089602785628257,4,181810,81.08843416052666,42400,18.910673826557005,2,178404,91.4503057672888,16677,8.548669028054725,2,6509,54
2020-12-10,2,566483,247500,2.2888202020202018,304158,245632,1.2382670010422094,262325,236574,1.1088496622621251,480257,84.77871357128105,86215,15.219344622874825,11,242437,79.70758618875715,61715,20.290441152295845,6,237820,90.65853426093588,24500,9.33955970647098,5,9058,1868
2020-12-11,3,539160,233525,2.308789208864148,289545,233090,1.2422025826933802,249615,224400,1.1123663101604278,456448,84.65909933971362,82703,15.339231396987907,9,230573,79.63287226510559,58966,20.36505551814053,6,225875,90.48935360455098,23737,9.509444544598683,3,8690,435
2020-12-12,4,731036,315201,2.3192692916583386,410492,314707,1.3043624704884225,320544,274752,1.1666666666666667,623410,85.27760602761012,107599,14.718700583828975,27,331902,80.85468169903433,78582,19.143369420110506,8,291508,90.94164919636616,29017,9.052423380253568,19,39955,494
2020-12-13,2,390111,168387,2.31675248089223,210416,168368,1.2497386676803193,179695,161908,1.1098586851792376,328768,84.27550107533497,61337,15.722960900871804,6,166017,78.89941829518669,44394,21.09820545966086,5,162751,90.57068922340632,16943,9.428754278082305,1,6460,19
2020-12-14,0,615532,268078,2.2960929281776203,329999,268047,1.2311236462262216,285533,258582,1.1042261255617174,525373,85.35267053540676,90139,14.644080242781856,20,265098,80.33297070597183,64884,19.66187776326595,17,260275,91.15408726837177,25255,8.84486206498023,3,9465,31
2020-12-15,1,616792,269098,2.292072033236962,331239,268272,1.2347132760780104,285553,258441,1.104905955324426,525234,85.15577374544418,91544,14.841956445608892,14,265116,80.03767672284967,66113,19.95930430897328,10,260118,91.09272184147952,25431,8.905877367774108,4,9831,826
2020-12-16,2,664472,288481,2.3033475341530294,356643,288405,1.236604774535809,307829,278221,1.1064189978470351,565641,85.12638606291912,98817,14.871507001047446,14,285613,80.08372518176441,71018,19.91291010898854,12,280028,90.96868716072883,27799,9.030663127905427,2,10184,76
