Date,Unnamed: 0,DE_trans,DE_ORN,DE_avg_trans_orn,DE_POI_trans,DE_POI_ORN,DE_POI_avg_trans_orn,DE_POA_trans,DE_POA_ORN,DE_POA_avg_trans_orn,DE_200,DE_200_per,DE_422,DE_422_per,DE_other_response,DE_POI_200,DE_POI_200_per,DE_POI_422,DE_POI_422_per,DE_POI_other_response,DE_POA_200,DE_POA_200_per,DE_POA_422,DE_POA_422_per,DE_POA_other_response,DE_POI_stopped,DE_POA_stopped
2020-12-01,0,525689,165144,3.183215860097853,364397,164846,2.210529827839317,161292,130376,1.2371295330428913,259403,49.345335359880075,266284,50.65428418703834,2,129552,35.552433197858385,234843,64.44701795020265,2,129851,80.50678272945963,31441,19.493217270540388,0,34470,298
2020-12-02,0,571619,181564,3.1483058315525105,393974,181219,2.174021487813088,177645,143523,1.2377458665161682,286029,50.03839970329889,285585,49.960725588197725,5,142976,36.290719692162426,250994,63.70826501241199,4,143053,80.52745644403164,34591,19.471980635537168,1,37696,345
2020-12-03,1,542120,172499,3.142742856480328,372434,172173,2.1631382388643985,169686,136799,1.2404038041213752,272514,50.268206301187924,269598,49.73031801077252,8,136350,36.610513540654175,236081,63.38868094749674,3,136164,80.24468724585411,33517,19.75236613509659,5,35374,326
2020-12-04,1,506329,162972,3.1068465748717573,345209,161716,2.1346620000494694,161120,129542,1.2437665004400118,257992,50.953431464522076,248333,49.04577853530017,4,128215,37.141268043417185,216991,62.857862917826594,3,129777,80.54679741807348,31342,19.452581926514398,1,32174,1256
2020-12-05,2,626426,200691,3.1213457504322566,427262,200287,2.1332487879892352,199164,160114,1.2438887292803875,318862,50.90178249306384,307560,49.0975789638361,4,159425,37.313170841310495,267834,62.68612701340162,3,159437,80.0531220501697,39726,19.94637585105742,1,40173,404
2020-12-06,3,317613,104412,3.0419204689116195,215155,104213,2.0645696794066,102458,82033,1.2489851645069667,162736,51.23719746987686,154798,48.73792949281043,79,81348,37.809021403174455,133791,62.183542097557584,16,81388,79.43547599992192,21007,20.50303539011107,63,22180,199
2020-12-07,4,503503,165658,3.0394125245988723,341657,165359,2.0661530367261536,161846,131401,1.2316953447842862,262046,52.04457570262739,241452,47.95443125463006,5,131201,38.40137916097138,210454,61.59803545661292,2,130845,80.84537152601857,30998,19.152774860052148,3,33958,299
2020-12-08,0,346125,134126,2.580595857626411,191091,133963,1.4264461082537716,155034,124349,1.2467651529163886,252106,72.8366919465511,94015,27.162152401589022,4,127980,66.97332684427839,63111,33.026673155721625,0,124126,80.06372795644828,30904,19.93369196434331,4,9614,163
2020-12-09,1,283547,111553,2.5418142049070847,155220,111419,1.3931196654071567,128327,103958,1.23441197406645,210514,74.243070813657,73032,25.75657651112514,1,106740,68.76691148047932,48480,31.233088519520678,0,103774,80.86684797431562,24552,19.13237276644821,1,7461,134
2020-12-10,2,398520,156440,2.547430324725134,220594,155077,1.4224804451981918,177926,144014,1.2354771063924341,291117,73.04953327311051,107399,26.949463013148648,4,147517,66.87262572871428,73074,33.126014306826114,3,143600,80.70770994683183,34325,19.29172802176185,1,11063,1363
2020-12-11,3,377919,147143,2.568379059826156,209298,146746,1.4262603409973695,168621,136387,1.2363421733742952,276265,73.10164347386609,101648,26.89676888433765,6,139939,66.86112624105343,69358,33.138395971294514,1,136326,80.84758126212037,32290,19.14945350816328,5,10359,397
2020-12-12,4,484566,190361,2.5455108977153933,280318,189835,1.4766402402086023,204248,159250,1.2825620094191523,360989,74.49738528910406,123558,25.498693676403214,19,194053,69.22602187515608,86256,30.77076748549861,9,166936,81.73201206376562,37302,18.263091927460735,10,30585,526
2020-12-13,2,269889,105694,2.553494048858024,149502,105566,1.4161946081124603,120387,97771,1.2313160344069305,197616,73.22121316541245,72272,26.778416311891185,1,100175,67.00579256464796,49326,32.99353854797929,1,97441,80.9398024703664,22946,19.0601975296336,0,7795,128
2020-12-14,0,432104,169625,2.5474075165806926,238194,169447,1.4057138810365484,193910,158008,1.2272163434762795,319556,73.9534926776887,112543,26.045350193471947,5,161785,67.9215261509526,76405,32.076794545622484,4,157771,81.36300345521119,36138,18.63648084162756,1,11439,178
2020-12-15,1,426809,167894,2.5421337272326587,235277,167179,1.4073358495983348,191532,156058,1.2273129221186994,315539,73.92979060891406,111263,26.06856931320567,7,159719,67.88551367111957,75554,32.11278620519643,4,155820,81.35455171981705,35709,18.643881962283064,3,11121,715
2020-12-16,2,458261,178733,2.563941745508664,253156,178514,1.4181296705020334,205105,166619,1.2309820608694086,337168,73.5755388304918,121089,26.423588304481513,4,170740,67.44457962679138,82415,32.55502535985716,1,166428,81.14282928256259,38674,18.85570805197338,3,11895,219
2020-12-17,3,401499,157400,2.5508195679796697,220709,156483,1.4104343602819476,180790,146007,1.2382283041224051,294866,73.44127880766827,106625,26.556728659349087,8,149336,67.66194400772058,71369,32.336243651142446,4,145530,80.49670888876597,35256,19.50107859948006,4,10476,917
2020-12-18,4,441099,171489,2.5721708097895486,242527,171286,1.4159184054738858,198572,160088,1.2403927839688171,323587,73.35926855422478,117510,26.640278032822565,2,163719,67.50547361737043,78806,32.493701732178266,2,159868,80.50883306810628,38704,19.491166931893726,0,11198,203
2020-12-19,5,381007,148313,2.568938663502188,207675,148142,1.401864427373736,173332,138820,1.2486097104163665,280301,73.5684646213849,100703,26.43074799150672,3,141962,68.35777055495366,65711,31.641266401829785,2,138339,79.81157547365748,34992,20.187847598827684,1,9322,171
2020-12-20,0,289178,111511,2.593268825497036,159787,111362,1.4348431242254989,129391,103366,1.2517752452450517,208924,72.24754303577727,80254,27.75245696422273,0,105864,66.25319957193011,53923,33.746800428069875,0,103060,79.65005294031269,26331,20.349947059687306,0,7996,149
2020-12-22,1,473689,182617,2.593893230093584,260125,182430,1.4258893822288,213564,170253,1.2543919930926328,344320,72.68904281078936,129367,27.310534971257514,2,174354,67.02700624699663,85769,32.9722248918789,2,169966,79.58551066659173,43598,20.414489333408245,0,12177,187
2020-12-23,2,501551,193442,2.592771993672522,274389,193189,1.4203137859816035,227162,180634,1.2575816291506583,364855,72.74534394308856,136686,27.25266224172617,10,184765,67.33688303831421,89620,32.661659177299384,4,180090,79.27822435090377,47066,20.719134362261293,6,12555,253
